datum,prirustkovy_pocet_testu,kumulativni_pocet_testu
2020-09-10,16298,1032595
2020-09-11,19192,1051787
2020-09-12,13057,1064844
2020-09-13,7090,1071934
2020-09-14,17493,1089427
2020-09-15,20303,1109730
2020-09-16,20460,1130190
2020-09-17,23428,1153618
2020-09-18,21570,1175188
2020-09-19,15050,1190238
2020-09-20,10179,1200417
2020-09-21,19405,1219822
2020-09-22,22381,1242203
2020-09-23,22373,1264576
2020-09-24,23147,1287723
2020-09-25,23124,1310847
2020-09-26,15385,1326232
2020-09-27,10460,1336692
2020-09-28,12218,1348910
2020-09-29,18303,1367213
2020-09-30,21080,1388293
2020-10-01,23906,1412199
2020-10-02,23630,1435829
2020-10-03,15201,1451030
2020-10-04,7766,1458796
2020-10-05,17716,1476512
2020-10-06,22989,1499501
2020-10-07,24011,1523512
2020-10-08,25058,1548570
2020-10-09,27735,1576305
2020-10-10,18069,1594374
2020-10-11,11504,1605878
2020-10-12,22029,1627907
2020-10-13,31580,1659487
2020-10-14,34835,1694322
2020-10-15,34795,1729117
2020-10-16,38719,1767836
2020-10-17,29277,1797113
2020-10-18,17240,1814353
2020-10-19,31115,1845468
2020-10-20,40595,1886063
2020-10-21,45205,1931268
2020-10-22,46408,1977676
2020-10-23,45247,2022923
2020-10-24,39190,2062113
2020-10-25,21563,2083676
2020-10-26,35401,2119077
2020-10-27,47469,2166546
2020-10-28,40073,2206619
2020-10-29,42514,2249133
2020-10-30,46795,2295928
2020-10-31,36287,2332215
2020-11-01,20595,2352810
2020-11-02,32637,2385447
2020-11-03,43284,2428731
2020-11-04,45467,2474198
2020-11-05,43129,2517327
2020-11-06,39917,2557244
